algorithm,framework,dataset,datatype,c_tile,a_tile,b_tile,i_tiles,mean_time,sd_time,valid
gemm,mpi,EXTRALARGE,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_J_MAJOR,2,1.42579,0.00396294,1
gemm,boost,SMALL,FLOAT,C_TILE_I_MAJOR,A_TILE_K_MAJOR,B_TILE_J_MAJOR,2,0.000812959,6.95956e-06,1
gemm,mpi,MINI,FLOAT,C_TILE_I_MAJOR,A_TILE_K_MAJOR,B_TILE_J_MAJOR,2,7.75543e-05,3.87949e-06,1
gemm,noarr,MINI,FLOAT,C_TILE_I_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,8.40428e-05,2.63731e-05,1
gemm,mpi,MINI,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,7.13182e-05,3.74766e-06,1
gemm,noarr,EXTRALARGE,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_J_MAJOR,2,1.41936,0.00633567,1
gemm,mpi,SMALL,FLOAT,C_TILE_I_MAJOR,A_TILE_I_MAJOR,B_TILE_J_MAJOR,2,0.000352402,8.88695e-06,1
gemm,mpi,LARGE,FLOAT,C_TILE_I_MAJOR,A_TILE_K_MAJOR,B_TILE_J_MAJOR,2,0.711698,0.0124401,1
gemm,boostP2P,SMALL,FLOAT,C_TILE_J_MAJOR,A_TILE_K_MAJOR,B_TILE_K_MAJOR,2,0.000845116,0.000202767,1
gemm,kokkosComm,SMALL,FLOAT,C_TILE_I_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,0.000818978,3.48048e-05,1
gemm,boost,SMALL,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,0.00082398,3.83133e-05,1
gemm,noarr,SMALL,FLOAT,C_TILE_I_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,0.000343429,7.14117e-05,1
gemm,boost,MINI,FLOAT,C_TILE_I_MAJOR,A_TILE_K_MAJOR,B_TILE_K_MAJOR,2,0.000241471,5.28042e-06,1
gemm,mpi,MINI,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_J_MAJOR,2,7.4415e-05,3.2326e-06,1
gemm,mpi,SMALL,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_J_MAJOR,2,0.000375403,6.91763e-05,1
gemm,noarr,SMALL,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_J_MAJOR,2,0.000360414,3.28258e-06,1
gemm,boostP2P,SMALL,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,0.000841769,0.000173974,1
gemm,boost,LARGE,FLOAT,C_TILE_I_MAJOR,A_TILE_I_MAJOR,B_TILE_J_MAJOR,2,0.366778,0.00265988,1
gemm,kokkosComm,MEDIUM,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,0.00882393,0.000450675,1
gemm,boost,MINI,FLOAT,C_TILE_I_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,0.000242129,1.41445e-05,1
gemm,boost,MEDIUM,FLOAT,C_TILE_I_MAJOR,A_TILE_K_MAJOR,B_TILE_K_MAJOR,2,0.0108776,0.000233341,1
gemm,boost,LARGE,FLOAT,C_TILE_J_MAJOR,A_TILE_K_MAJOR,B_TILE_K_MAJOR,2,1.08171,0.0890724,1
gemm,noarr,MINI,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_J_MAJOR,2,8.26122e-05,1.6943e-05,1
gemm,kokkosComm,EXTRALARGE,FLOAT,C_TILE_I_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,1.86733,0.00388528,1
gemm,kokkosComm,SMALL,FLOAT,C_TILE_I_MAJOR,A_TILE_I_MAJOR,B_TILE_J_MAJOR,2,0.000814576,4.20595e-06,1
gemm,mpi,MEDIUM,FLOAT,C_TILE_I_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,0.00592998,8.7593e-05,1
gemm,boostP2P,EXTRALARGE,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,1.85384,0.00328665,1
gemm,mpi,MINI,FLOAT,C_TILE_J_MAJOR,A_TILE_K_MAJOR,B_TILE_K_MAJOR,2,8.52199e-05,1.98642e-05,1
gemm,boostP2P,EXTRALARGE,FLOAT,C_TILE_I_MAJOR,A_TILE_K_MAJOR,B_TILE_J_MAJOR,2,3.62672,0.178137,1
gemm,boostP2P,MINI,FLOAT,C_TILE_I_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,0.000337024,0.000251685,1
gemm,kokkosComm,EXTRALARGE,FLOAT,C_TILE_J_MAJOR,A_TILE_I_MAJOR,B_TILE_K_MAJOR,2,1.8249,0.013049,1
